name	PercNA	H	RandomNomCat
	int	int	categorical
дәваларга (лечить)	49	2.34403535768	FALSE
казырга (копать)	31	2.88734494948	FALSE
сибәргә (лить)	61	1.47274995852	TRUE
юынырга (мыться)	86	0.577004250316	FALSE
көрәшергә (бороться)	75	1.37770208736	FALSE
авыз ачарга (зевать)	47	2.40050335294	TRUE
ябыштырырга (клеить)	86	0.734687465609	TRUE
сөртергә (вытирать)	49	2.07527531882	FALSE
кер юарга (стирать)	59	1.97210195231	TRUE
сикерергә  (прыгать)	22	2.505067097	FALSE
җырларга (петь)	100	0,00	TRUE
чүгәләргә (приседать)	27	3.37678992198	TRUE
корырга (вить гнездо)	27	2.74984544255	FALSE
кычкырырга (кричать)	98	0.139232999055	FALSE
чишенергә (раздеваться)	59	1.71012174841	FALSE
болгарга (махать)	65	2.19752547058	TRUE
тирләргә (потеть)	37	2.56893016215	TRUE
көтәргә (ждать)	88	0.787456923641	TRUE
юындырырга (купать)	84	1.05812368605	TRUE
авырырга (болеть)	41	2.30375497555	FALSE
качарга (прятаться)	51	2.64348229926	FALSE
сыйпарга (гладить)	75	1.53652297893	TRUE
уйларга  (думать)	90	0.651173381606	FALSE
киптерергә (сушить)	45	1.89829814811	FALSE
укытырга (учить)	37	2.32472953703	TRUE
пышылдарга (шептать)	41	2.18520364878	FALSE
утырырга (сидеть)	59	2.09417180504	TRUE
күрешергә (встречаться)	45	1.6694955263	TRUE
туңарга (мерзнуть)	47	2.61206847855	TRUE
күтәрелергә (подтягиваться)	53	1.6441780364	TRUE
кагарга (вбить)	67	1.41727168276	TRUE
чәчәргә (сеять)	63	1.30765359817	TRUE
болгатырга (мешать)	61	1.66782021391	FALSE
эрергә (таять)	92	0.460257429599	FALSE
санарга (считать)	67	1.02588148702	TRUE
биергә (танцевать)	98	0.139232999055	FALSE
кашырга (чесать)	47	2.10303122399	FALSE
ашатырга (кормить)	39	2.32867221021	TRUE
юешләнергә (мокнуть)	31	3.07431762699	FALSE
карарга (смотреть)	41	2.30761147642	FALSE
җилфердәргә (развевать)	63	1.94744164685	FALSE
сызгырырга (свистеть)	65	1.42594059149	FALSE
салырга (класть)	31	2.06641891368	TRUE
сөйләшергә (разговаривать)	98	0.139232999055	TRUE
чабарга (скакать)	86	0.805464729814	TRUE
күрсәтергә (показывать)	67	2.0158858987	TRUE
шатланырга (радоваться)	37	2.65407721315	TRUE
иснәргә (нюхать)	98	0.139232999055	TRUE
ертырга (рвать)	90	0.651173381606	FALSE
уйнарга (играть)	98	0.139232999055	FALSE
сикерергә  (прыгать)	96	0.238684511351	FALSE
шуышырга (ползать)	41	2.88393839434	FALSE
йөзәргә (плыть) / выплывать	75	1.43367763583	FALSE
пешәргә (вариться)	59	1.68590702424	TRUE
кисәргә (вырезать)	98	0.139232999055	FALSE
уйларга  (думать)	41	1.60955175787	FALSE
яндырырга (поджигать)	79	1.1942508557	TRUE
еларга (плакать)	98	0.139232999055	FALSE
кешнәргә (ржать)	75	1.47289332211	FALSE
кызынырга (загорать)	90	0.651173381606	FALSE
үлчәргә (измерять)	94	0.322756958897	TRUE
янарга (гореть)	96	0.277900197626	FALSE
ашарга (есть. кушать)	61	2.14605773161	TRUE
куркытырга (пугать)	94	0.415990047175	TRUE
таптарга (топтать)	55	2.16958146286	TRUE
тартырга (тащить)	43	2.02617255986	FALSE
уларга (выть)	74	1.01605292401	TRUE
яктыртырга (освещать)	47	2.91175892002	TRUE
казырга (копать)	94	0.322756958897	FALSE
кагарга (вбить)	55	2.12594298268	TRUE
сөрергә (пахать)	49	1.99078021198	FALSE
уянырга (просыпаться)	88	0.748241237367	TRUE
эләргә (вешать)	96	0.277900197626	TRUE
төшерергә (ронять)	27	2.49263199635	TRUE
йөзәргә (плавать) / переплывать	71	1.6405219095	FALSE
тибәргә (пинать)	92	0.553490517876	FALSE
борылырга (поворачивать)	82	1.15326197419	FALSE
тыңларга (слушать)	96	0.277900197626	TRUE
кабызырга (включать)	25	3.50634212016	FALSE
бәйләргә (завязать)	94	0.415990047175	FALSE
сибәргә (брызгать (духи)	37	1.85640670279	FALSE
үлчәнергә (взвешиваться)	82	0.981597513366	TRUE
ватарга (ломать)	57	2.12737444355	FALSE
тыңламаска (не слушать)	22	3.33374174051	TRUE
сәяхәт итәргә (путешествовать)	43	2.51618809789	TRUE
салырга (влить)	65	1.53528159782	FALSE
төшәргә (спускаться)	71	1.6777794493	FALSE
түгәргә (выбрасывать)	63	1.68646039069	TRUE
көләргә (смеяться)	94	0.376774360901	FALSE
кайтырга (возвращаться)	31	2.8947118463	FALSE
китәргә (уезжать)	22	2.91857843927	TRUE
мөгрәргә (мычать)	69	1.88743160477	FALSE
төрергә (завернуть. закутать)	73	1.41724030207	TRUE
тартырга (тянуть)	33	2.7722439167	TRUE
туктатырга (останавливать)	29	3.62106511913	TRUE
ачуланырга (ругать)	43	2.42119538375	TRUE
пешерергә (варить. готовить)	90	0.651173381606	FALSE
кычыкырырга (кричать)	41	2.39854844331	FALSE
ашатырга (кормить)	94	0.376774360901	TRUE
йөртергә (водить)	45	2.13997320613	FALSE
тарарга (расчесывать)	90	0.597155979603	TRUE
тотарга/очырырга (запускать)	22	2.94103426335	FALSE
уйнарга (играть)	33	2.99310409104	TRUE
чыгарга (выезжать)	45	2.54838343012	TRUE
кимерергә (грызть)	27	3.11999917899	FALSE
тәгәрәтергә (катить. катать)	76	1.27770599814	TRUE
сөйләргә (говорить)	20	3.533335461	FALSE
сикерергә  (прыгать)	57	1.82212353189	FALSE
өрергә (лаять)	53	1.7126293817	TRUE
юарга (мыть)	53	2.24798171325	FALSE
утыртырга (сажать)	69	1.38168270468	FALSE
көйләргә (налаживать)	35	2.83142644104	TRUE
атарга (стрелять)	94	0.415990047175	FALSE
күтәрергә (поднимать)	47	2.37039342052	FALSE
утырырга (сидеть)	84	1.09733937232	TRUE
шуышырга (ползать)	25	3.35067085453	FALSE
керергә (входить)	49	1.54820827094	TRUE
сөйләшергә (разговаривать)	61	1.70557942873	TRUE
бирергә (давать)	59	1.77301149594	TRUE
тирбәтергә (качать. баюкать)	37	1.41131631113	TRUE
кагарга (стучать) 	37	1.73538960099	TRUE
чеметергә (щипать)	78	1.2315083955	TRUE
күтәрергә (поднимать)	41	2.35258291664	TRUE
батарга (застрять)	73	1.6429221649	FALSE
кисәргә (резать)	94	0.376774360901	TRUE
кабызырга (включать)	25	3.48311962908	TRUE
егылырга (падать)	39	2.24893463533	TRUE
торырга (вставать)	39	2.38396278017	TRUE
алырга (брать)	80	0.855569808847	FALSE
борылырга (поворачивать)	90	0.690389067881	TRUE
шиңәргә (вянуть)	61	1.78401080128	TRUE
куарга (гнать)	59	1.74642008948	FALSE
тартырга (дергать)	92	0.460257429599	FALSE
күчерергә (списать)	55	2.32689690572	FALSE
очарга (летать)	47	2.49683226397	FALSE
буярга (красить)	76	1.47378442951	FALSE
тегәргә (шить)	61	1.5766791747	FALSE
эләктерергә (застегивать)	61	2.10488389886	TRUE
ташларга (бросать)	39	2.64345157893	FALSE
кадакларга (забить)	41	2.35287012816	TRUE
йөзәргә (плыть) / подплывать	53	2.43495439076	TRUE
бөгәргә (гнуть)	31	3.6748899894	FALSE
басарга (наступать)	76	1.40496531178	TRUE
чыгарга (выходить)	39	2.9919699615	FALSE
җилләтергә (проветривать)	33	3.12878418003	FALSE
бәйләргә (привязать)	84	0.830483676744	TRUE
ачарга (открывать)	41	2.35491319998	TRUE
чабынырга (париться)	96	0.277900197626	TRUE
