1	95. гиря (a kettlebell)	92	0,48	1,99	332,00	3,42	2,39	1,19	3,88	4,40	2,00	4,00
2	96. гитара (a guitar)	100	0	2,67	--	4,06	1,98	1,1	4,61	22,20	3,00	6,00
1	97. глаз (1) (an eye)	95	0,35	2,50	265,00	4,93	1,13	1,10	4,01	857,60	1,00	4,00
1	98. глобус (a globe)	100	0,00	3,05	403,00	4,07	2,48	1,12	4,96	5,50	2,00	6,00
1	99. гном (a dwarf)	94	0,40	3,73	648,00	3,30	1,87	1,20	3,98	5,00	1,00	4,00
1	100. голова (a head)	68	1,84	2,01	343,00	4,16	1,14	1,14	3,69	709,40	3,00	6,00
1	101. голубь (a pigeon)	91	0,57	3,28	408,00	4,50	1,46	1,06	3,67	13,70	2,00	5,00
1	102. гора (a mountain)	86	0,88	2,83	444,00	3,78	1,67	1,05	3,73	115,50	2,00	4,00
1	103. горох (peas)	88	0,67	2,91	415,00	4,20	1,66	1,13	4,59	6,40	2,00	5,00
2	104. грабли (a rake)	100	0	2,39	--	3,64	1,89	1,09	4,93	3,70	2,00	6,00
2	105. гранат (a pomegranate)	99	0,08	3,76	--	4,15	2,34	1,16	4,5	2,50	2,00	6,00
2	106. грибы (mushrooms)	93	0,45	2,12	--	4,34	1,53	1,13	3,88	38,30	2,00	5,00
1	107. гроб (a coffin)	100	0,00	2,58	265,00	3,49	2,43	1,23	4,27	50,00	1,00	4,00
1	108. грудь (a breast)	83	1,07	2,31	352,00	4,74	2,10	1,10	3,79	138,80	1,00	4,00
1	109. грузовик (a lorry)	87	0,82	3,03	425,00	4,09	1,58	1,09	3,92	30,60	3,00	8,00
2	110. груша (a pear)	100	0	1,99	--	4,47	1,3	1,01	4,78	10,60	2,00	5,00
2	111. гусеница (a caterpillar)	98	0,16	3,73	--	3,39	1,57	1,12	4,25	10,60	4,00	8,00
1	112. дверь (a door)	93	0,48	3,11	559,00	4,78	1,19	1,04	3,82	450,80	1,00	4,00
2	113. двигатель (an engine)	55	2,24	4,28	--	2,43	2,93	2,15	4,11	67,00	3,00	8,00
2	114. дворник (a yard-keeper)	95	0,4	3,25	--	3,92	1,99	1,24	4,38	13,20	2,00	7,00
2	115. девочка (a girl)	90	0,67	2,56	--	4,43	1,07	1,04	3,85	185,10	3,00	7,00
2	116. дельфин (a dolphin)	94	0,46	3,21	--	3,43	2,01	1,09	4,27	7,60	2,00	6,00
2	117. деньги (money)	64	1,5	3,43	--	4,71	1,69	1,17	3,78	512,40	2,00	5,00
2	118. дерево (1) (a tree)	90	0,75	2,66	--	4,61	1,1	1,05	3,91	171,90	3,00	6,00
2	119. дерево (2) (a tree)	91	0,62	3,4	--	4,72	1,05	1,01	4,17	171,90	3,00	6,00
1	120. джинн (a jinn)	96	0,27	3,71	491,00	2,82	2,37	1,52	3,52	3,10	1,00	4,00
1	121. джинсы (jeans)	57	1,42	2,99	398,00	4,87	2,95	1,13	3,83	19,40	2,00	6,00
1	122. диван (a sofa)	98	0,14	2,82	476,00	4,84	1,45	1,13	4,20	60,10	2,00	5,00
2	123. динамит (a dynamite)	68	1,67	2,62	--	2,41	3,11	1,83	4,15	1,60	3,00	7,00
1	124. диск (a disk)	85	1,04	2,94	260,00	4,55	3,28	1,35	3,54	26,30	1,00	4,00
1	125. дождь (rain)	83	1,25	2,85	625,00	4,68	1,20	1,21	3,67	83,20	1,00	4,00
1	126. дом (a house)	86	0,74	2,99	427,00	4,64	1,16	1,09	4,03	792,60	1,00	3,00
1	127. домино (dominoes)	99	0,08	2,30	328,00	3,99	2,24	1,25	4,34	3,40	3,00	6,00
1	128. дорога (a road)	80	1,06	3,06	500,00	4,85	1,31	1,10	3,57	330,10	3,00	6,00
1	129. дракон (a dragon)	95	0,38	3,53	602,00	3,35	2,16	1,44	3,27	16,60	2,00	6,00
2	130. дрель (a drill)	86	0,86	3,17	--	3,31	2,95	1,34	4,58	1,40	1,00	4,00
2	131. дуршлаг (a colander)	88	0,67	3,09	--	4,11	2,55	1,16	4,15	1,20	2,00	7,00
1	132. духи (perfume)	87	0,69	2,36	279,00	4,19	2,27	1,34	3,82	22,30	2,00	4,00
2	133. душ (a shower)	91	0,67	2,9	--	4,86	1,84	1,12	4,55	16,10	1,00	3,00
1	134. дятел (a woodpecker)	97	0,24	3,58	411,00	3,59	2,03	1,23	4,63	3,10	2,00	5,00
1	135. единорог (an unicorn)	95	0,38	3,96	574,00	2,93	2,92	1,18	4,30	1,20	4,00	9,00
1	136. еж (a hedgehog)	77	0,78	2,47	370,00	3,75	1,60	1,05	4,18	7,50	1,00	3,00
1	137. елка (a fir tree)	50	1,35	3,31	510,00	4,32	1,15	1,02	3,84	22,30	2,00	5,00
1	138. енот (a racoon)	95	0,36	3,15	463,00	3,19	2,51	1,56	3,45	0,90	2,00	5,00
2	139. ершик (a bottle brush)	33	3,47	2,59	--	3,26	2,77	1,3	3,44	0,40	2,00	6,00
1	140. жалюзи (a window blind)	97	0,22	2,84	432,00	4,19	4,12	1,36	4,36	2,10	3,00	6,00
1	141. жвачка (a chewing gum)	91	0,60	3,05	335,00	4,42	2,16	1,25	3,65	3,70	2,00	6,00
1	142. живот (a belly)	83	1,07	2,84	555,00	4,71	1,17	1,25	4,14	65,60	2,00	5,00
1	143. жилет (a waistcoat)	75	1,24	2,80	511,00	3,38	2,45	1,16	3,61	5,00	2,00	5,00
1	144. жираф (a giraffe)	98	0,16	3,11	406,00	3,65	1,65	1,13	4,39	2,60	2,00	5,00
2	145. жук (a beetle)	85	0,86	2,77	--	3,24	1,26	1,1	4,21	11,70	1,00	3,00
1	146. журнал (1) (a magazine)	99	0,08	3,08	418,00	4,38	2,20	1,22	3,92	162,00	2,00	6,00
1	147. завод (a factory)	78	1,37	3,56	687,00	3,56	2,45	1,65	3,31	164,00	2,00	5,00
2	148. зажигалка (a lighter)	98	0,14	3,03	--	3,86	2,86	1,14	3,69	10,70	4,00	9,00
2	149. заключенный (a prisoner)	81	1,08	2,65	--	2,2	3,11	1,5	3,55	26,40	4,00	10,00
1	150. замОк (a lock)	100	0,00	2,33	177,00	4,08	1,73	1,09	4,49	60,80	2,00	5,00
2	151. зАмок (1) (a fortress)	58	1,29	3,08	--	3,7	1,95	1,24	3,56	60,80	2,00	5,00
2	152. зАмок (2) (a castle)	80	1,25	3,4	--	3,37	1,75	1,13	4,13	60,80	2,00	5,00
1	153. звезда (a star)	100	0,00	2,07	276,00	4,01	1,54	1,08	3,86	122,70	2,00	6,00
1	154. зебра (a zebra)	99	0,08	2,90	463,00	3,69	1,70	1,05	4,65	1,90	2,00	5,00
1	155. зеркало (1) (a mirror)	95	0,40	2,85	420,00	4,15	1,33	1,15	1,87	70,50	3,00	7,00
2	156. зерно (grains)	33	2,94	3,36	--	3,6	1,98	1,28	3,08	30,30	2,00	5,00
2	157. змея (a snake)	94	0,43	3,39	--	3,03	1,59	1,06	4,27	20,50	2,00	5,00
1	158. золото (gold)	39	2,05	2,96	632,00	2,90	2,11	1,73	3,59	56,20	3,00	6,00
1	159. зонт (1) (an umbrella)	92	0,40	2,52	237,00	4,51	1,55	1,05	4,75	5,10	1,00	4,00
2	160. игла (a needle)	63	1,21	1,8	--	4,23	1,8	1,01	4,7	14,30	2,00	4,00
1	161. иероглиф (an hieroglyph)	93	0,51	2,91	255,00	2,96	3,28	1,37	4,00	4,80	4,00	9,00
2	162. икона (an icon)	97	0,24	2,97	--	3,76	2,44	1,17	4,39	36,20	3,00	5,00
2	163. икра (caviar)	31	3,86	3,15	--	3,49	2,1	1,24	4,15	15,50	2,00	4,00
2	164. иллюминатор (a porthole)	87	0,9	2,43	--	3,67	2,86	1,31	4,17	6,10	5,00	10,00
1	165. кабан (a boar)	89	0,62	3,51	453,00	2,90	2,38	1,49	4,45	5,30	2,00	5,00
2	166. кабинет (an office room)	70	1,37	3,74	--	3,96	2,25	1,47	3,18	148,50	3,00	7,00
2	167. казино (a casino)	83	1,25	4,18	--	2,68	3,61	1,8	3,77	11,70	3,00	6,00
1	168. кактус (a cactus)	98	0,16	2,73	249,00	4,47	2,15	1,12	4,03	4,60	2,00	6,00
1	169. календарь (a calendar)	96	0,32	2,32	318,00	4,30	2,16	1,45	3,28	15,00	3,00	8,00
2	170. камера (a prison cell)	84	0,87	3,22	--	2,35	2,67	1,49	2,06	67,90	3,00	6,00
1	171. камин (a fireplace)	95	0,32	3,57	390,00	3,65	2,84	1,44	3,54	11,20	2,00	5,00
1	172. камыш (scripus)	69	1,61	2,72	455,00	3,31	2,23	1,14	4,34	5,30	2,00	5,00
1	173. капля (a drop)	80	0,87	2,46	182,00	4,49	1,66	1,16	4,06	44,70	2,00	5,00
1	174. капсула (a capsule)	46	1,60	2,33	169,00	3,83	3,48	1,66	4,00	4,60	3,00	7,00
2	175. капуста (a cabbage)	88	0,86	2,78	--	4,05	1,46	1,13	3,39	21,70	3,00	7,00
1	176. карандаш (a pencil)	100	0,00	1,86	232,00	4,71	1,38	1,00	4,89	46,60	3,00	8,00
1	177. карета (a carriage)	100	0,00	3,76	357,00	2,66	1,95	1,12	4,43	9,40	3,00	6,00
1	178. карман (a pocket)	99	0,08	2,21	325,00	4,70	1,47	1,14	3,68	120,50	2,00	6,00
2	179. карта (a map)	99	0,08	2,95	--	4,1	2	1,09	4,3	103,00	2,00	5,00
2	180. картина (a picture)	76	1,1	2,82	--	4,16	1,58	1,23	4,11	183,90	3,00	7,00
1	181. картофель (potatoes)	65	1,13	1,86	347,00	4,73	1,60	1,07	3,88	12,30	3,00	8,00
1	182. каска (a helmet)	92	0,40	2,81	381,00	3,17	2,42	1,18	3,97	8,10	2,00	5,00
2	183. касса (a ticket office)	75	1,43	2,58	--	4,41	2,11	1,4	2,86	20,90	2,00	4,00
2	184. кассета (a cassette)	84	0,63	2,32	--	3,93	2,71	1,23	4,5	16,30	3,00	6,00
1	185. кастрюля (a saucepan)	100	0,00	2,34	403,00	4,84	1,48	1,03	4,56	15,90	3,00	8,00
2	186. катушка (a bobbin)	87	0,9	2,41	--	3,15	2,28	1,25	4,3	8,40	3,00	7,00
2	187. качели (a swing)	99	0,08	2,88	--	4,24	1,23	1,07	4,29	5,10	3,00	6,00
1	188. квадрат (a square)	98	0,16	1,23	213,00	4,50	1,65	1,00	4,95	16,90	2,00	7,00
1	189. кекс (a cupcake)	84	0,91	2,73	290,00	4,21	2,34	1,23	4,26	1,10	1,00	4,00
1	190. кенгуру (a kangaroo)	100	0,00	3,37	431,00	2,94	2,10	1,19	4,58	2,10	3,00	7,00
1	191. кепка (a baseball cap)	88	0,58	2,11	282,00	4,29	2,00	1,12	3,89	12,10	2,00	5,00
2	192. киви (a kiwi fruit)	99	0,08	3,98	--	4,18	3,46	1,09	4,53	0,80	2,00	4,00
2	193. киоск (a stall)	50	1,45	3,1	--	4,19	2,23	1,42	3,98	13,40	2,00	5,00
1	194. кисть (a brush)	63	1,02	2,53	242,00	4,27	2,03	1,20	4,24	26,10	1,00	4,00
1	195. кит (a whale)	95	0,32	2,91	251,00	3,36	1,69	1,13	4,12	10,70	1,00	3,00
2	196. клавиатура (a keyboard)	99	0,08	3,11	--	4,82	3,86	1,01	4,17	4,80	5,00	10,00
2	197. клетка (a cage)	97	0,22	3,84	--	2,86	1,93	1,19	3,38	109,60	2,00	6,00
1	198. клоун (a clown)	98	0,16	2,96	470,00	3,44	1,82	1,39	4,00	13,90	2,00	5,00
1	199. клубника (a strawberry)	88	0,72	2,34	272,00	4,56	1,47	1,03	4,57	4,50	3,00	8,00
1	200. клубок (1) (a clew)	95	0,35	2,82	383,00	3,96	1,76	1,04	4,81	6,80	2,00	6,00
2	201. клубок (2) (a clew)	52	1,98	2,54	--	3,31	1,76	1,03	4,45	6,80	2,00	6,00
1	202. клюв (a beak)	98	0,16	2,96	153,00	3,35	1,84	1,25	3,60	6,60	1,00	4,00
1	203. ключ (a key)	100	0,00	2,17	254,00	4,85	1,49	1,18	4,46	78,00	1,00	4,00
1	204. книга (a book)	95	0,40	2,55	245,00	4,88	1,26	1,05	4,42	413,90	2,00	5,00
2	205. кнопка (a drawing-pin)	96	0,32	1,85	--	3,63	2,01	1,19	3,04	33,00	2,00	6,00
1	206. кобра (a cobra)	71	0,99	3,78	566,00	2,90	2,56	1,20	4,71	2,70	2,00	5,00
1	207. кобура (a holster)	97	0,24	3,09	267,00	3,05	3,28	1,65	4,31	7,90	3,00	6,00
1	208. ковер (a carpet)	96	0,30	2,96	348,00	4,25	1,43	1,06	4,24	29,50	2,00	5,00
2	209. ковш (a ladle)	55	2,4	3,42	--	2,7	2,12	1,21	2,78	4,80	1,00	4,00
1	210. коготь (a claw)	95	0,32	2,03	143,00	3,68	2,02	1,27	3,89	8,30	2,00	5,00
2	211. коза (a she-goat)	79	0,74	2,68	--	3,33	1,29	1,03	4,73	16,20	2,00	4,00
2	212. козел (a he-goat)	85	1,08	2,65	--	3,12	1,46	1,08	3,93	19,50	2,00	5,00
1	213. коктейль (a cocktail)	84	1,00	2,72	156,00	3,75	3,25	1,53	3,40	8,60	2,00	6,00
2	214. колба (a flask)	61	1,99	2,34	--	2,73	3,43	1,2	3,03	3,10	2,00	5,00
1	215. колбаса (a wurst)	97	0,24	2,27	357,00	4,53	1,41	1,13	3,38	28,00	3,00	7,00
2	216. колдун (a sorcerer)	43	3,15	3,71	--	3,06	2,19	1,78	2,76	6,60	2,00	6,00
1	217. колено (1) (a knee)	73	1,54	1,74	141,00	4,64	1,41	1,08	3,59	102,80	3,00	6,00
2	218. колено (2) (a knee)	85	0,84	1,78	--	4,69	1,37	1,08	4,17	102,80	3,00	6,00
1	219. колесо (a wheel)	98	0,16	3,02	363,00	4,54	1,39	1,05	3,79	68,40	3,00	6,00
1	220. колодец (a well)	99	0,08	3,50	452,00	3,69	1,85	1,24	4,24	23,90	3,00	7,00
1	221. колокол (a bell)	99	0,08	3,40	409,00	3,44	2,13	1,12	4,11	15,80	3,00	7,00
1	222. колокольчик (a jingle bell)	90	0,57	2,68	262,00	3,25	1,64	1,03	3,32	9,40	4,00	10,00
2	223. колонна (a column)	94	0,4	2,85	--	3,4	2,81	1,27	4,44	41,60	3,00	6,00
1	224. кольцо (a ring)	89	0,50	2,85	339,00	4,21	1,72	1,05	4,10	59,50	2,00	5,00
1	225. коляска (a baby carriage)	98	0,16	3,34	536,00	4,11	1,30	1,25	4,45	16,80	3,00	7,00
2	226. комната (a room)	52	1,51	3,86	--	4,63	1,23	1,2	3,89	310,70	3,00	7,00
2	227. комод (a commode)	84	0,92	1,99	--	4,2	2,46	1,44	3,97	5,20	2,00	5,00
1	228. компас (a compass)	100	0,00	3,10	184,00	3,72	2,52	1,20	4,53	4,80	2,00	6,00
1	229. компьютер (a computer)	91	0,63	2,70	346,00	4,91	3,69	1,20	4,22	63,20	3,00	9,00
